subject_id,turn_index,speaker,begin_ms,end_ms,duration_ms,duration_s,gap_from_previous_ms,overlap_with_previous_ms
adrsdt1,1,INV,0,3626,3626,3.626,0,0
adrsdt1,2,PAR,3626,4514,888,0.888,0,0
adrsdt1,3,INV,4514,5883,1369,1.369,0,0
adrsdt1,4,PAR,5883,6416,533,0.533,0,0
adrsdt1,5,INV,6416,8062,1646,1.646,0,0
adrsdt1,6,PAR,7262,9042,1780,1.78,0,800
adrsdt1,7,INV,9042,10707,1665,1.665,0,0
adrsdt1,8,PAR,10007,19828,9821,9.821,0,700
adrsdt1,9,PAR,19828,28418,8590,8.59,0,0
adrsdt1,10,PAR,28418,30403,1985,1.985,0,0
adrsdt1,11,PAR,30403,34748,4345,4.345,0,0
adrsdt1,12,PAR,34748,38800,4052,4.052,0,0
adrsdt1,13,INV,38800,39697,897,0.897,0,0
adrsdt1,14,PAR,39697,42540,2843,2.843,0,0
adrsdt1,15,PAR,42540,54645,12105,12.105,0,0
adrsdt1,16,PAR,54645,59712,5067,5.067,0,0
adrsdt2,1,INV,0,997,997,0.997,0,0
adrsdt2,2,INV,997,5868,4871,4.871,0,0
adrsdt2,3,INV,5868,8128,2260,2.26,0,0
adrsdt2,4,PAR,8128,23289,15161,15.161,0,0
adrsdt2,5,PAR,23289,32986,9697,9.697,0,0
adrsdt2,6,PAR,35873,44995,9122,9.122,2887,0
adrsdt2,7,PAR,44995,56100,11105,11.105,0,0
adrsdt2,8,PAR,56100,85600,29500,29.5,0,0
adrsdt2,9,INV,85600,86566,966,0.966,0,0
adrsdt2,10,INV,86566,93240,6674,6.674,0,0
adrsdt3,1,PAR,0,3907,3907,3.907,0,0
adrsdt3,2,INV,3907,4240,333,0.333,0,0
adrsdt3,3,PAR,4240,7858,3618,3.618,0,0
adrsdt3,4,PAR,7858,9394,1536,1.536,0,0
adrsdt3,5,PAR,9394,12701,3307,3.307,0,0
adrsdt3,6,PAR,12701,16708,4007,4.007,0,0
adrsdt3,7,PAR,16708,23490,6782,6.782,0,0
adrsdt3,8,PAR,23490,27116,3626,3.626,0,0
adrsdt3,9,PAR,27116,30656,3540,3.54,0,0
adrsdt3,10,PAR,30656,36699,6043,6.043,0,0
adrsdt3,11,PAR,36699,40282,3583,3.583,0,0
adrsdt3,12,PAR,40282,45976,5694,5.694,0,0
adrsdt3,13,PAR,45976,50225,4249,4.249,0,0
adrsdt3,14,PAR,50225,58099,7874,7.874,0,0
adrsdt3,15,PAR,58099,66228,8129,8.129,0,0
adrsdt3,16,PAR,66228,73228,7000,7.0,0,0
adrsdt4,1,INV,0,1281,1281,1.281,0,0
adrsdt4,2,INV,1281,3209,1928,1.928,0,0
adrsdt4,3,PAR,3209,8329,5120,5.12,0,0
adrsdt4,4,PAR,8329,10258,1929,1.929,0,0
adrsdt4,5,PAR,10258,19851,9593,9.593,0,0
adrsdt4,6,PAR,19851,25619,5768,5.768,0,0
adrsdt4,7,PAR,25619,34297,8678,8.678,0,0
adrsdt4,8,PAR,34297,37671,3374,3.374,0,0
adrsdt4,9,PAR,37671,51586,13915,13.915,0,0
adrsdt4,10,PAR,51586,55045,3459,3.459,0,0
adrsdt4,11,PAR,55045,62093,7048,7.048,0,0
adrsdt4,12,PAR,62093,68593,6500,6.5,0,0
adrsdt4,13,PAR,68593,72782,4189,4.189,0,0
